#visibleNodes,#adversarial,network,time
1,2,Erdos-Renyi-sparse,5
1,2,Erdos-Renyi-sparse,5
1,2,Erdos-Renyi-sparse,5
1,2,Erdos-Renyi-sparse,5
1,2,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,4
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
1,5,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,0,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,2,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,4
2,5,Erdos-Renyi-sparse,5
2,5,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,0,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,2,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
5,5,Erdos-Renyi-sparse,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,0,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,2,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
0,5,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,0,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,2,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
1,5,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,0,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,2,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
2,5,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,0,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,2,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
5,5,Barabasi-Albert,5
