#visibleNodes,#adversarial,network,time
0,0,Erdos-Renyi-dense,2
0,0,Erdos-Renyi-dense,2
0,0,Erdos-Renyi-dense,2
0,0,Erdos-Renyi-dense,3
0,0,Erdos-Renyi-dense,2
0,0,Erdos-Renyi-dense,3
0,0,Erdos-Renyi-dense,4
0,0,Erdos-Renyi-dense,3
0,0,Erdos-Renyi-dense,3
0,0,Erdos-Renyi-dense,2
0,2,Erdos-Renyi-dense,2
0,2,Erdos-Renyi-dense,3
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,3
0,2,Erdos-Renyi-dense,2
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,5
0,2,Erdos-Renyi-dense,3
0,2,Erdos-Renyi-dense,2
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,3
0,5,Erdos-Renyi-dense,3
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,4
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,5
0,5,Erdos-Renyi-dense,4
1,0,Erdos-Renyi-dense,4
1,0,Erdos-Renyi-dense,4
1,0,Erdos-Renyi-dense,2
1,0,Erdos-Renyi-dense,4
1,0,Erdos-Renyi-dense,1
1,0,Erdos-Renyi-dense,4
1,0,Erdos-Renyi-dense,3
1,0,Erdos-Renyi-dense,3
1,0,Erdos-Renyi-dense,3
1,0,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,5
1,2,Erdos-Renyi-dense,4
1,2,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,1
1,2,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,3
1,2,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,4
1,5,Erdos-Renyi-dense,2
1,5,Erdos-Renyi-dense,3
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,4
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,4
1,5,Erdos-Renyi-dense,3
1,5,Erdos-Renyi-dense,5
1,5,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,4
2,0,Erdos-Renyi-dense,2
2,0,Erdos-Renyi-dense,5
2,0,Erdos-Renyi-dense,3
2,0,Erdos-Renyi-dense,4
2,0,Erdos-Renyi-dense,3
2,0,Erdos-Renyi-dense,2
2,0,Erdos-Renyi-dense,4
2,0,Erdos-Renyi-dense,3
2,0,Erdos-Renyi-dense,3
2,2,Erdos-Renyi-dense,2
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,4
2,2,Erdos-Renyi-dense,3
2,2,Erdos-Renyi-dense,4
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,2
2,2,Erdos-Renyi-dense,3
2,2,Erdos-Renyi-dense,5
2,2,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,3
2,5,Erdos-Renyi-dense,4
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,5
2,5,Erdos-Renyi-dense,4
