#visibleNodes,#adversarial,network,ratio
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,1
2,0,Erdos-Renyi-dense,0
2,2,Erdos-Renyi-dense,1
2,2,Erdos-Renyi-dense,1
2,2,Erdos-Renyi-dense,0
2,2,Erdos-Renyi-dense,1
2,2,Erdos-Renyi-dense,0
2,2,Erdos-Renyi-dense,0
2,2,Erdos-Renyi-dense,1
2,2,Erdos-Renyi-dense,0
2,2,Erdos-Renyi-dense,1
2,2,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,0
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,1
2,5,Erdos-Renyi-dense,0
2,5,Erdos-Renyi-dense,0
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,0
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,1
5,0,Erdos-Renyi-dense,0
5,2,Erdos-Renyi-dense,1
5,2,Erdos-Renyi-dense,1
5,2,Erdos-Renyi-dense,0
5,2,Erdos-Renyi-dense,0
5,2,Erdos-Renyi-dense,1
5,2,Erdos-Renyi-dense,1
5,2,Erdos-Renyi-dense,1
5,2,Erdos-Renyi-dense,0
5,2,Erdos-Renyi-dense,1
5,2,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,0
5,5,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,0
5,5,Erdos-Renyi-dense,0
5,5,Erdos-Renyi-dense,1
5,5,Erdos-Renyi-dense,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,0,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,0
0,2,Erdos-Renyi-sparse,1
0,2,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,0
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
0,5,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,0,Erdos-Renyi-sparse,1
1,2,Erdos-Renyi-sparse,0
1,2,Erdos-Renyi-sparse,0
1,2,Erdos-Renyi-sparse,0
1,2,Erdos-Renyi-sparse,0
1,2,Erdos-Renyi-sparse,0
1,2,Erdos-Renyi-sparse,1
1,2,Erdos-Renyi-sparse,1
1,2,Erdos-Renyi-sparse,1
1,2,Erdos-Renyi-sparse,0
1,2,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,0
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,0
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,1
1,5,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,0
2,0,Erdos-Renyi-sparse,0
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,0,Erdos-Renyi-sparse,1
2,2,Erdos-Renyi-sparse,1
2,2,Erdos-Renyi-sparse,1
2,2,Erdos-Renyi-sparse,1
2,2,Erdos-Renyi-sparse,1
2,2,Erdos-Renyi-sparse,1
2,2,Erdos-Renyi-sparse,0
2,2,Erdos-Renyi-sparse,0
2,2,Erdos-Renyi-sparse,0
2,2,Erdos-Renyi-sparse,0
2,2,Erdos-Renyi-sparse,1
2,5,Erdos-Renyi-sparse,0
2,5,Erdos-Renyi-sparse,1
2,5,Erdos-Renyi-sparse,1
2,5,Erdos-Renyi-sparse,0
2,5,Erdos-Renyi-sparse,1
2,5,Erdos-Renyi-sparse,1
2,5,Erdos-Renyi-sparse,0
2,5,Erdos-Renyi-sparse,0
2,5,Erdos-Renyi-sparse,1
2,5,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,0
5,0,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,0
5,0,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,1
5,0,Erdos-Renyi-sparse,0
5,0,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,0
5,2,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,0
5,2,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,0
5,2,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,1
5,2,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,1
5,5,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,1
5,5,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,0
5,5,Erdos-Renyi-sparse,1
5,5,Erdos-Renyi-sparse,0
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,0,Barabasi-Albert,1
0,2,Barabasi-Albert,0
0,2,Barabasi-Albert,1
0,2,Barabasi-Albert,1
0,2,Barabasi-Albert,1
0,2,Barabasi-Albert,0
0,2,Barabasi-Albert,0
0,2,Barabasi-Albert,1
0,2,Barabasi-Albert,0
0,2,Barabasi-Albert,1
0,2,Barabasi-Albert,1
0,5,Barabasi-Albert,0
0,5,Barabasi-Albert,0
0,5,Barabasi-Albert,1
0,5,Barabasi-Albert,0
0,5,Barabasi-Albert,0
0,5,Barabasi-Albert,1
0,5,Barabasi-Albert,0
0,5,Barabasi-Albert,0
0,5,Barabasi-Albert,1
0,5,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,0,Barabasi-Albert,1
1,2,Barabasi-Albert,1
1,2,Barabasi-Albert,1
1,2,Barabasi-Albert,0
1,2,Barabasi-Albert,1
1,2,Barabasi-Albert,0
1,2,Barabasi-Albert,1
1,2,Barabasi-Albert,0
1,2,Barabasi-Albert,1
1,2,Barabasi-Albert,1
1,2,Barabasi-Albert,0
1,5,Barabasi-Albert,1
1,5,Barabasi-Albert,0
1,5,Barabasi-Albert,1
1,5,Barabasi-Albert,1
1,5,Barabasi-Albert,0
1,5,Barabasi-Albert,0
1,5,Barabasi-Albert,1
1,5,Barabasi-Albert,1
1,5,Barabasi-Albert,0
1,5,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,0,Barabasi-Albert,1
2,2,Barabasi-Albert,1
2,2,Barabasi-Albert,1
2,2,Barabasi-Albert,1
2,2,Barabasi-Albert,1
2,2,Barabasi-Albert,0
2,2,Barabasi-Albert,1
2,2,Barabasi-Albert,0
2,2,Barabasi-Albert,0
2,2,Barabasi-Albert,1
2,2,Barabasi-Albert,0
2,5,Barabasi-Albert,0
2,5,Barabasi-Albert,0
2,5,Barabasi-Albert,0
2,5,Barabasi-Albert,1
2,5,Barabasi-Albert,1
2,5,Barabasi-Albert,1
2,5,Barabasi-Albert,0
2,5,Barabasi-Albert,1
2,5,Barabasi-Albert,1
2,5,Barabasi-Albert,0
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,0
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,0,Barabasi-Albert,1
5,2,Barabasi-Albert,1
5,2,Barabasi-Albert,1
5,2,Barabasi-Albert,1
5,2,Barabasi-Albert,0
5,2,Barabasi-Albert,0
5,2,Barabasi-Albert,1
5,2,Barabasi-Albert,0
5,2,Barabasi-Albert,0
5,2,Barabasi-Albert,1
5,2,Barabasi-Albert,1
5,5,Barabasi-Albert,1
5,5,Barabasi-Albert,0
5,5,Barabasi-Albert,1
5,5,Barabasi-Albert,0
5,5,Barabasi-Albert,1
5,5,Barabasi-Albert,1
5,5,Barabasi-Albert,0
5,5,Barabasi-Albert,0
5,5,Barabasi-Albert,1
5,5,Barabasi-Albert,0
